bill_number,bill_url,title,committees,latest_action,status,sponsor_name,party,state,district,cosponsors,introduced_date
H.R.8819,https://www.congress.gov/bill/119th-congress/house-bill/8819?s=1&r=11,To require Federal agencies to use the Artificial Intelligence Risk Management Framework developed by the National Institute of Standards and Technology with respect to the use of artificial intelligence.,"Committees: House - Science, Space, and Technology","Latest Action: House - 05/14/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Lieu, Ted",D,CA,36,3,05/14/2026
H.R.8798,https://www.congress.gov/bill/119th-congress/house-bill/8798?s=1&r=12,Universal School Meals Program Act of 2026,"Committees: House - Education and Workforce; Agriculture; Science, Space, and Technology","Latest Action: House - 05/13/2026 Referred to the Committee on Education and Workforce, and in addition to the Committees on Agriculture, and Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within... ( All Actions )",Introduced,"Omar, Ilhan",D,MN,5,96,05/13/2026
H.R.8790,https://www.congress.gov/bill/119th-congress/house-bill/8790?s=1&r=13,Next-Generation Geothermal Research and Development Act,"Committees: House - Science, Space, and Technology; Natural Resources",Latest Action: House - 05/20/2026 Ordered to be Reported (Amended) by Voice Vote. ( All Actions ),Introduced,"Harrigan, Pat",R,NC,10,1,05/13/2026
H.R.8748,https://www.congress.gov/bill/119th-congress/house-bill/8748?s=1&r=14,Surface Transportation Research and Development Act of 2026,"Committees: House - Science, Space, and Technology; Transportation and Infrastructure",Latest Action: House - 05/20/2026 Ordered to be Reported (Amended) by Voice Vote. ( All Actions ),Introduced,"Fong, Vince",R,CA,20,1,05/12/2026
H.R.8706,https://www.congress.gov/bill/119th-congress/house-bill/8706?s=1&r=15,Better Energy Storage and Safety Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 05/07/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Panetta, Jimmy",D,CA,19,1,05/07/2026
H.R.8609,https://www.congress.gov/bill/119th-congress/house-bill/8609?s=1&r=16,Vehicle Innovation Act of 2026,"Committees: House - Science, Space, and Technology; Energy and Commerce","Latest Action: House - 04/30/2026 Referred to the Committee on Science, Space, and Technology , and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Dingell, Debbie",D,MI,6,1,04/30/2026
H.R.8560,https://www.congress.gov/bill/119th-congress/house-bill/8560?s=1&r=17,Shifting Forward Vehicle Technologies Research and Development Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 04/28/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Stevens, Haley M.",D,MI,11,1,04/28/2026
H.R.8559,https://www.congress.gov/bill/119th-congress/house-bill/8559?s=1&r=18,"To amend the National Defense Authorization Act for Fiscal Year 2021 to prohibit certain institutions of higher education from receiving research and development awards, and for other purposes.","Committees: House - Science, Space, and Technology","Latest Action: House - 04/28/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Stefanik, Elise M.",R,NY,21,2,04/28/2026
H.R.8558,https://www.congress.gov/bill/119th-congress/house-bill/8558?s=1&r=19,"To amend the Research and Development, Competition, and Innovation Act to require each institution of higher education to certify as part of an application for a research and development award that such institution does not operate certain branch campuses, and for other purposes.","Committees: House - Science, Space, and Technology","Latest Action: House - 04/28/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Stefanik, Elise M.",R,NY,21,1,04/28/2026
H.R.8530,https://www.congress.gov/bill/119th-congress/house-bill/8530?s=1&r=20,Quantum for Health Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 04/27/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Sykes, Emilia Strong",D,OH,13,0,04/27/2026
H.R.8516,https://www.congress.gov/bill/119th-congress/house-bill/8516?s=1&r=21,American Leadership in AI Act,"Committees: House - Science, Space, and Technology; Energy and Commerce; Agriculture; Oversight and Government Reform; Education and Workforce; Judiciary; Ways and Means","Latest Action: House - 04/27/2026 Referred to the Committee on Science, Space, and Technology , and in addition to the Committees on Energy and Commerce, Agriculture, Oversight and Government Reform, Education and Workforce, the Judiciary, and Ways and Means, for a period to be subsequently... ( All Actions )",Introduced,"Lieu, Ted",D,CA,36,4,04/27/2026
H.R.8479,https://www.congress.gov/bill/119th-congress/house-bill/8479?s=1&r=22,Protecting Consumers from Deceptive AI Act,"Committees: House - Energy and Commerce; Science, Space, and Technology","Latest Action: House - 04/23/2026 Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Foushee, Valerie P.",D,NC,4,3,04/23/2026
H.R.8462,https://www.congress.gov/bill/119th-congress/house-bill/8462?s=1&r=23,National Quantum Initiative Reauthorization Act,"Committees: House - Science, Space, and Technology",Latest Action: House - 04/29/2026 Ordered to be Reported (Amended) by Voice Vote. ( All Actions ),Introduced,"Weber, Randy K. Sr.",R,TX,14,3,04/23/2026
H.R.8458,https://www.congress.gov/bill/119th-congress/house-bill/8458?s=1&r=24,STAR Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 04/22/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Soto, Darren",D,FL,9,1,04/22/2026
H.R.8440,https://www.congress.gov/bill/119th-congress/house-bill/8440?s=1&r=25,ZELDIN Act,"Committees: House - Energy and Commerce; Transportation and Infrastructure; Agriculture; Science, Space, and Technology; Rules","Latest Action: House - 04/22/2026 Referred to the Committee on Energy and Commerce, and in addition to the Committees on Transportation and Infrastructure, Agriculture, Science, Space, and Technology , and Rules, for a period to be subsequently determined by the Speaker, in each case for... ( All Actions )",Introduced,"Carter, Troy A.",D,LA,2,1,04/22/2026
H.R.8437,https://www.congress.gov/bill/119th-congress/house-bill/8437?s=1&r=26,Geo POWER Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 04/22/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Begich, Nicholas J.",,,,4,04/22/2026
H.R.8407,https://www.congress.gov/bill/119th-congress/house-bill/8407?s=1&r=27,ACCURATE Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 04/21/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Franklin, Scott",R,FL,18,3,04/21/2026
H.R.8357,https://www.congress.gov/bill/119th-congress/house-bill/8357?s=1&r=28,6PPD Task Force Act,"Committees: House - Science, Space, and Technology; Transportation and Infrastructure; Energy and Commerce; Natural Resources","Latest Action: House - 04/16/2026 Referred to the Committee on Science, Space, and Technology , and in addition to the Committees on Transportation and Infrastructure, Energy and Commerce, and Natural Resources, for a period to be subsequently determined by the Speaker, in each case for... ( All Actions )",Introduced,"Strickland, Marilyn",D,WA,10,5,04/16/2026
H.R.8345,https://www.congress.gov/bill/119th-congress/house-bill/8345?s=1&r=29,Economy of the Future Commission Act of 2026,"Committees: House - Science, Space, and Technology; Energy and Commerce; Transportation and Infrastructure; Oversight and Government Reform; Education and Workforce","Latest Action: House - 04/16/2026 Referred to the Committee on Science, Space, and Technology , and in addition to the Committees on Energy and Commerce, Transportation and Infrastructure, Oversight and Government Reform, and Education and Workforce, for a period to be subsequently determined by the... ( All Actions )",Introduced,"Obernolte, Jay",R,CA,23,2,04/16/2026
H.R.8307,https://www.congress.gov/bill/119th-congress/house-bill/8307?s=1&r=30,Responder and Recovery Safety in EV Fires Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 04/15/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Obernolte, Jay",R,CA,23,1,04/15/2026
H.R.8268,https://www.congress.gov/bill/119th-congress/house-bill/8268?s=1&r=31,Biotechnology for All High School Students Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 04/14/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"McBride, Sarah",,,,3,04/14/2026
H.R.8262,https://www.congress.gov/bill/119th-congress/house-bill/8262?s=1&r=32,Build More Power Act,"Committees: House - Energy and Commerce; Science, Space, and Technology","Latest Action: House - 04/14/2026 Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Gottheimer, Josh",D,NJ,5,1,04/14/2026
H.R.8237,https://www.congress.gov/bill/119th-congress/house-bill/8237?s=1&r=33,Quantum Instrumentation for Science and Engineering Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 04/09/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Salinas, Andrea",D,OR,6,1,04/09/2026
H.R.8198,https://www.congress.gov/bill/119th-congress/house-bill/8198?s=1&r=34,OUTPACE in Space Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 04/06/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Fong, Vince",R,CA,20,0,04/06/2026
H.R.8187,https://www.congress.gov/bill/119th-congress/house-bill/8187?s=1&r=35,"To amend title 51, United States Code, to direct the Administrator of the National Aeronautics and Space Administration to seek to establish the initial elements of a lunar outpost, and for other purposes.","Committees: House - Science, Space, and Technology","Latest Action: House - 04/02/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Self, Keith",R,TX,3,1,04/02/2026
H.R.8186,https://www.congress.gov/bill/119th-congress/house-bill/8186?s=1&r=36,Roadway Resiliency Act,"Committees: House - Transportation and Infrastructure; Science, Space, and Technology","Latest Action: House - 04/02/2026 Referred to the Committee on Transportation and Infrastructure, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the... ( All Actions )",Introduced,"Scholten, Hillary J.",D,MI,3,0,04/02/2026
H.R.8078,https://www.congress.gov/bill/119th-congress/house-bill/8078?s=1&r=37,Voter Empowerment Act of 2026,"Committees: House - House Administration; Judiciary; Oversight and Government Reform; Science, Space, and Technology; Education and Workforce; Energy and Commerce","Latest Action: House - 03/25/2026 Referred to the Committee on House Administration, and in addition to the Committees on the Judiciary, Oversight and Government Reform, Science, Space, and Technology , Education and Workforce, and Energy and Commerce, for a period to be subsequently determined by... ( All Actions )",Introduced,"Clyburn, James E.",D,SC,6,2,03/25/2026
H.R.8016,https://www.congress.gov/bill/119th-congress/house-bill/8016?s=1&r=38,Forever Chemical Regulation and Accountability Act of 2026,"Committees: House - Energy and Commerce; Oversight and Government Reform; Science, Space, and Technology; Transportation and Infrastructure; Armed Services",Latest Action: House - 03/20/2026 Referred to the Subcommittee on Water Resources and Environment. ( All Actions ),Introduced,"McCollum, Betty",D,MN,4,3,03/19/2026
H.R.8014,https://www.congress.gov/bill/119th-congress/house-bill/8014?s=1&r=39,Online Privacy Act of 2026,"Committees: House - Energy and Commerce; Judiciary; Science, Space, and Technology","Latest Action: House - 03/19/2026 Referred to the Committee on Energy and Commerce, and in addition to the Committees on the Judiciary, and Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the... ( All Actions )",Introduced,"Lofgren, Zoe",D,CA,18,0,03/19/2026
H.R.7977,https://www.congress.gov/bill/119th-congress/house-bill/7977?s=1&r=40,Energy Bills Relief Act,"Committees: House - Energy and Commerce; Agriculture; Ways and Means; Natural Resources; Financial Services; Transportation and Infrastructure; Education and Workforce; Oversight and Government Reform; Science, Space, and Technology","Latest Action: House - 03/18/2026 Referred to the Committee on Energy and Commerce, and in addition to the Committees on Agriculture, Ways and Means, Natural Resources, Financial Services, Transportation and Infrastructure, Education and Workforce, Oversight and Government Reform, and Science... ( All Actions )",Introduced,"Casten, Sean",D,IL,6,154,03/18/2026
H.R.7968,https://www.congress.gov/bill/119th-congress/house-bill/7968?s=1&r=41,Small AI Innovators Empowerment Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 03/17/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Subramanyam, Suhas",D,VA,10,5,03/17/2026
H.R.7949,https://www.congress.gov/bill/119th-congress/house-bill/7949?s=1&r=42,NSF Plant Biology Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 03/16/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Riley, Josh",D,NY,19,2,03/16/2026
H.R.7936,https://www.congress.gov/bill/119th-congress/house-bill/7936?s=1&r=43,Bioindustrial Scale-Up for Supply Chains and Energy Resiliency Act of 2026,"Committees: House - Science, Space, and Technology","Latest Action: House - 03/16/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Baird, James R.",R,IN,4,6,03/16/2026
H.R.7929,https://www.congress.gov/bill/119th-congress/house-bill/7929?s=1&r=44,FLARE Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 03/12/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Titus, Dina",D,NV,1,0,03/12/2026
H.R.7907,https://www.congress.gov/bill/119th-congress/house-bill/7907?s=1&r=45,AI-Ready Bio-Data Standards Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 03/12/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Khanna, Ro",D,CA,17,2,03/12/2026
H.R.7896,https://www.congress.gov/bill/119th-congress/house-bill/7896?s=1&r=46,NOAA Global Ocean Monitoring and Observing Research Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 03/12/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Amo, Gabe",D,RI,1,1,03/12/2026
H.R.7826,https://www.congress.gov/bill/119th-congress/house-bill/7826?s=1&r=47,HBCU AI Research Leadership Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 03/05/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Foushee, Valerie P.",D,NC,4,2,03/05/2026
H.R.7813,https://www.congress.gov/bill/119th-congress/house-bill/7813?s=1&r=48,NOAA Weather Radio Modernization Act,"Committees: House - Science, Space, and Technology",Latest Action: House - 03/18/2026 Ordered to be Reported (Amended) by Voice Vote. ( All Actions ),Introduced,"Babin, Brian",R,TX,36,4,03/05/2026
H.R.7801,https://www.congress.gov/bill/119th-congress/house-bill/7801?s=1&r=49,Cloud LAB Act of 2026,"Committees: House - Science, Space, and Technology","Latest Action: House - 03/04/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Obernolte, Jay",R,CA,23,4,03/04/2026
H.R.7786,https://www.congress.gov/bill/119th-congress/house-bill/7786?s=1&r=50,AI Fraud Accountability Act,"Committees: House - Energy and Commerce; Judiciary; Science, Space, and Technology; Foreign Affairs","Latest Action: House - 03/04/2026 Referred to the Committee on Energy and Commerce, and in addition to the Committees on the Judiciary, Science, Space, and Technology , and Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions... ( All Actions )",Introduced,"Buchanan, Vern",R,FL,16,2,03/04/2026
H.R.7749,https://www.congress.gov/bill/119th-congress/house-bill/7749?s=1&r=51,Quantum in Practice Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 03/02/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Feenstra, Randy",R,IA,4,12,03/02/2026
H.R.7748,https://www.congress.gov/bill/119th-congress/house-bill/7748?s=1&r=52,Railway Safety Act of 2026,"Committees: House - Transportation and Infrastructure; Science, Space, and Technology","Latest Action: House - 03/03/2026 Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials. ( All Actions )",Introduced,"Deluzio, Christopher R.",D,PA,17,9,03/02/2026
H.R.7662,https://www.congress.gov/bill/119th-congress/house-bill/7662?s=1&r=53,Railroad Safety Enhancement Act of 2026,"Committees: House - Transportation and Infrastructure; Science, Space, and Technology","Latest Action: House - 02/25/2026 Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials. ( All Actions )",Introduced,"Nehls, Troy E.",R,TX,22,2,02/24/2026
H.R.7656,https://www.congress.gov/bill/119th-congress/house-bill/7656?s=1&r=54,ReSCUE Oceans Act,"Committees: House - Science, Space, and Technology; Natural Resources","Latest Action: House - 02/24/2026 Referred to the Committee on Science, Space, and Technology , and in addition to the Committee on Natural Resources, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Bonamici, Suzanne",D,OR,1,2,02/24/2026
H.R.7568,https://www.congress.gov/bill/119th-congress/house-bill/7568?s=1&r=55,Hot Rock Act,"Committees: House - Science, Space, and Technology; Natural Resources; Education and Workforce","Latest Action: House - 02/13/2026 Referred to the Committee on Science, Space, and Technology , and in addition to the Committees on Natural Resources, and Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall... ( All Actions )",Introduced,"Auchincloss, Jake",D,MA,4,1,02/13/2026
H.R.7452,https://www.congress.gov/bill/119th-congress/house-bill/7452?s=1&r=56,Air Quality Act,"Committees: House - Energy and Commerce; Transportation and Infrastructure; Science, Space, and Technology","Latest Action: House - 02/09/2026 Referred to the Committee on Energy and Commerce, and in addition to the Committees on Transportation and Infrastructure, and Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such... ( All Actions )",Introduced,"Steube, W. Gregory",R,FL,17,3,02/09/2026
H.R.7434,https://www.congress.gov/bill/119th-congress/house-bill/7434?s=1&r=57,AI Grand Challenges Act of 2026,"Committees: House - Science, Space, and Technology","Latest Action: House - 02/09/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Lieu, Ted",D,CA,36,1,02/09/2026
H.R.7416,https://www.congress.gov/bill/119th-congress/house-bill/7416?s=1&r=58,Methane Monitoring Science Act of 2026,"Committees: House - Science, Space, and Technology","Latest Action: House - 02/09/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Beyer, Donald S.",D,VA,8,1,02/09/2026
H.R.7379,https://www.congress.gov/bill/119th-congress/house-bill/7379?s=1&r=59,NASA C-UAS Act,"Committees: House - Science, Space, and Technology; Transportation and Infrastructure; Judiciary; Energy and Commerce",Latest Action: House - 02/05/2026 Referred to the Subcommittee on Aviation. ( All Actions ),Introduced,"Stevens, Haley M.",D,MI,11,0,02/04/2026
H.R.7334,https://www.congress.gov/bill/119th-congress/house-bill/7334?s=1&r=60,National Commission on Robotics Act,"Committees: House - Science, Space, and Technology; Energy and Commerce; Foreign Affairs; Education and Workforce","Latest Action: House - 02/03/2026 Referred to the Committee on Science, Space, and Technology , and in addition to the Committees on Energy and Commerce, Foreign Affairs, and Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such... ( All Actions )",Introduced,"Obernolte, Jay",R,CA,23,2,02/03/2026
H.R.7329,https://www.congress.gov/bill/119th-congress/house-bill/7329?s=1&r=61,FREEDOM Act,"Committees: House - Natural Resources; Agriculture; Energy and Commerce; Transportation and Infrastructure; Science, Space, and Technology; Judiciary",Latest Action: House - 02/04/2026 Referred to the Subcommittee on Water Resources and Environment. ( All Actions ),Introduced,"Harder, Josh",D,CA,9,5,02/03/2026
H.R.7315,https://www.congress.gov/bill/119th-congress/house-bill/7315?s=1&r=62,Advancing Policy Priorities Act,"Committees: House - Ways and Means; Veterans' Affairs; Armed Services; Energy and Commerce; Transportation and Infrastructure; Financial Services; Education and Workforce; Oversight and Government Reform; Foreign Affairs; Agriculture; Natural Resources; Small Business; Science, Space, and Technology; Judiciary; Homeland Security; Intelligence (Permanent Select); House Administration; Rules; Ethics; Budget; Appropriations","Latest Action: House - 05/20/2026 Referred to the Subcommittee on Livestock, Dairy, and Poultry. ( All Actions )",Introduced,"Magaziner, Seth",D,RI,2,0,02/02/2026
H.R.7314,https://www.congress.gov/bill/119th-congress/house-bill/7314?s=1&r=63,Advancing Commonsense Policies Act,"Committees: House - Ways and Means; Veterans' Affairs; Armed Services; Energy and Commerce; Transportation and Infrastructure; Financial Services; Education and Workforce; Oversight and Government Reform; Foreign Affairs; Agriculture; Natural Resources; Small Business; Science, Space, and Technology; Judiciary; Homeland Security; Intelligence (Permanent Select); House Administration; Rules; Ethics; Budget; Appropriations","Latest Action: House - 05/20/2026 Referred to the Subcommittee on Livestock, Dairy, and Poultry. ( All Actions )",Introduced,"Magaziner, Seth",D,RI,2,0,02/02/2026
H.R.7292,https://www.congress.gov/bill/119th-congress/house-bill/7292?s=1&r=64,"To amend the National Quantum Initiative Act to require a biennial report on the progress of the Subcommittee on Quantum Information Science of the National Science and Technology Council in implementing the national workforce strategic plan, and for other purposes.","Committees: House - Science, Space, and Technology","Latest Action: House - 01/30/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Lawler, Michael",R,NY,17,1,01/30/2026
H.R.7275,https://www.congress.gov/bill/119th-congress/house-bill/7275?s=1&r=65,Aviation Weather Safety Improvement Act,"Committees: House - Science, Space, and Technology; Transportation and Infrastructure",Latest Action: House - 01/31/2026 Referred to the Subcommittee on Aviation. ( All Actions ),Introduced,"Gillen, Laura",D,NY,4,1,01/30/2026
H.R.7273,https://www.congress.gov/bill/119th-congress/house-bill/7273?s=1&r=66,NASA Reauthorization Act of 2026,"Committees: House - Science, Space, and Technology",Latest Action: House - 02/04/2026 Ordered to be Reported (Amended) by the Yeas and Nays: 37 - 0. ( All Actions ),Introduced,"Babin, Brian",R,TX,36,3,01/30/2026
H.R.7217,https://www.congress.gov/bill/119th-congress/house-bill/7217?s=1&r=67,SBIR Administrative Funding Act,"Committees: House - Small Business; Science, Space, and Technology","Latest Action: House - 01/22/2026 Referred to the Committee on Small Business, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Latimer, George",D,NY,16,0,01/22/2026
H.R.7158,https://www.congress.gov/bill/119th-congress/house-bill/7158?s=1&r=68,Expanding AI Voices Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 01/20/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Foushee, Valerie P.",D,NC,4,5,01/20/2026
H.R.7129,https://www.congress.gov/bill/119th-congress/house-bill/7129?s=1&r=69,Water Power Research and Development Reauthorization Act,"Committees: House - Science, Space, and Technology; Education and Workforce",Latest Action: House - 05/20/2026 Ordered to be Reported (Amended) by Voice Vote. ( All Actions ),Introduced,"Bonamici, Suzanne",D,OR,1,1,01/16/2026
H.R.7077,https://www.congress.gov/bill/119th-congress/house-bill/7077?s=1&r=70,"To amend the Research and Development, Competition, and Innovation Act to require a plan for data collection and analytical capability relating to the skilled technical workforce, and for other purposes.","Committees: House - Science, Space, and Technology","Latest Action: House - 01/14/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Scholten, Hillary J.",D,MI,3,5,01/14/2026
H.R.7007,https://www.congress.gov/bill/119th-congress/house-bill/7007?s=1&r=71,Governing for the People Act,"Committees: House - Ways and Means; Transportation and Infrastructure; Judiciary; Agriculture; Natural Resources; Science, Space, and Technology; Education and Workforce; Small Business; Energy and Commerce; Foreign Affairs; Intelligence (Permanent Select); Armed Services; Oversight and Government Reform; Veterans' Affairs; Financial Services; House Administration; Homeland Security; Rules; Ethics; Budget; Appropriations",Latest Action: House - 05/20/2026 Referred to the Subcommittee on Forestry and Horticulture. ( All Actions ),Introduced,"McGovern, James P.",D,MA,2,0,01/12/2026
H.R.6918,https://www.congress.gov/bill/119th-congress/house-bill/6918?s=1&r=72,Climate Pollution Standard and Community Investment Act of 2025,"Committees: House - Energy and Commerce; Ways and Means; Education and Workforce; Science, Space, and Technology","Latest Action: House - 12/19/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, Education and Workforce, and Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such... ( All Actions )",Introduced,"Tonko, Paul",D,NY,20,0,12/19/2025
H.R.6898,https://www.congress.gov/bill/119th-congress/house-bill/6898?s=1&r=73,AIRSHIP Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 12/18/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Sykes, Emilia Strong",D,OH,13,1,12/18/2025
